               matmul_locality n=2500, m=2500, k=2500: 19415ms (1.609588 GFLOP/s, 6140.090998 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19418ms (1.609291 GFLOP/s, 6138.956163 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19410ms (1.609965 GFLOP/s, 6141.528404 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19423ms (1.608914 GFLOP/s, 6137.519960 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19404ms (1.610462 GFLOP/s, 6143.424569 MiB/s)

               matmul_locality n=2500, m=2500, k=2500: 19415ms (1.609575 GFLOP/s, 6140.041030 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19414ms (1.609705 GFLOP/s, 6140.535687 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19400ms (1.610861 GFLOP/s, 6144.946526 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19402ms (1.610618 GFLOP/s, 6144.018568 MiB/s)

               matmul_locality n=2500, m=2500, k=2500: 19427ms (1.608624 GFLOP/s, 6136.413557 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19572ms (1.596706 GFLOP/s, 6090.948118 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 20977ms (1.489742 GFLOP/s, 5682.915163 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 20970ms (1.490190 GFLOP/s, 5684.624606 MiB/s)

               matmul_locality n=2500, m=2500, k=2500: 22606ms (1.382378 GFLOP/s, 5273.355253 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 22378ms (1.396462 GFLOP/s, 5327.078565 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 22460ms (1.391361 GFLOP/s, 5307.621464 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 22590ms (1.383331 GFLOP/s, 5276.988878 MiB/s)

               matmul_locality n=2500, m=2500, k=2500: 19411ms (1.609885 GFLOP/s, 6141.223405 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19404ms (1.610518 GFLOP/s, 6143.637015 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19399ms (1.610945 GFLOP/s, 6145.267734 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19395ms (1.611243 GFLOP/s, 6146.405221 MiB/s)

               matmul_locality n=2500, m=2500, k=2500: 19428ms (1.608471 GFLOP/s, 6135.831765 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19420ms (1.609191 GFLOP/s, 6138.578399 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19428ms (1.608533 GFLOP/s, 6136.065795 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19430ms (1.608356 GFLOP/s, 6135.392809 MiB/s)

               matmul_locality n=2500, m=2500, k=2500: 19425ms (1.608778 GFLOP/s, 6137.000198 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19547ms (1.598735 GFLOP/s, 6098.689756 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19408ms (1.610195 GFLOP/s, 6142.406552 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19409ms (1.610067 GFLOP/s, 6141.917290 MiB/s)



